"","journal","no_apc"
"1","analytica chimica acta: x","analytica chimica acta: x"
"2","atherosclerosis: x","atherosclerosis: x"
"3","atmospheric environment: x","atmospheric environment: x"
"4","biochimie open","biochimie open"
"5","biosensors and bioelectronics: x","biosensors and bioelectronics: x"
"6","chemical engineering science: x","chemical engineering science: x"
"7","chemical physics letters: x","chemical physics letters: x"
"8","contraception: x","contraception: x"
"9","cytokine: x","cytokine: x"
"10","ecological engineering: x","ecological engineering: x"
"11","energy conversion and management: x","energy conversion and management: x"
"12","expert systems with applications: x","expert systems with applications: x"
"13","food chemistry: x","food chemistry: x"
"14","gene: x","gene: x"
"15","international journal of pharmaceutics: x","international journal of pharmaceutics: x"
"16","journal of asian earth sciences: x","journal of asian earth sciences: x"
"17","journal of biomedical informatics: x","journal of biomedical informatics: x"
"18","journal of biotechnology: x","journal of biotechnology: x"
"19","journal of computational physics: x","journal of computational physics: x"
"20","journal of hydrology x","journal of hydrology x"
"21","journal of non-crystalline solids: x","journal of non-crystalline solids: x"
"22","journal of structural biology: x","journal of structural biology: x"
"23","materials letters: x","materials letters: x"
"24","optical materials: x","optical materials: x"
"25","research policy: x","research policy: x"
"26","respiratory medicine: x","respiratory medicine: x"
"27","sleep medicine: x","sleep medicine: x"
"28","toxicon: x","toxicon: x"
"29","vaccine: x","vaccine: x"
"30","veterinary parasitology: x","veterinary parasitology: x"
"31","water research x","water research x"
"32","world neurosurgery: x","world neurosurgery: x"
