Journal,JrnlType,APC,pair_key
ANALYTICA CHIMICA ACTA: X,OA,1850,1
ANALYTICA CHIMICA ACTA,PW,3500,1
ATHEROSCLEROSIS: X,OA,2308,2
ATHEROSCLEROSIS,PW,3200,2
ATMOSPHERIC ENVIRONMENT: X,OA,1400,3
ATMOSPHERIC ENVIRONMENT,PW,1400,3
BIOCHIMIE OPEN,OA,1318,4
BIOCHIMIE,PW,2880,4
BIOSENSORS AND BIOELECTRONICS: X,OA,3500,5
BIOSENSORS AND BIOELECTRONICS,PW,4080,5
"CHAOS, SOLITONS AND FRACTALS: X",OA,2200,6
"CHAOS, SOLITONS AND FRACTALS",PW,2200,6
CHEMICAL ENGINEERING SCIENCE: X,OA,3500,7
CHEMICAL ENGINEERING SCIENCE,PW,3500,7
CHEMICAL PHYSICS LETTERS: X,OA,3050,8
CHEMICAL PHYSICS LETTERS,PW,3050,8
CLINICS AND RESEARCH IN HEPATOLOGY AND GASTROENTEROLOGY: X,OA,2020,9
CLINICS AND RESEARCH IN HEPATOLOGY AND GASTROENTEROLOGY,PW,2400,9
GRAPHICS AND VISUAL COMPUTING,OA,1400,10
COMPUTERS AND GRAPHICS,PW,2700,10
COMPUTERS AND GRAPHICS (PERGAMON),NA,NA,10
CONTRACEPTION: X,OA,3200,11
CONTRACEPTION,PW,3200,11
CYTOKINE: X,OA,3400,12
CYTOKINE,PW,3400,12
DIABETES AND METABOLISM: X,OA,2000,13
DIABETES AND METABOLISM,PW,NA,13
ECOLOGICAL ENGINEERING: X,OA,2600,14
ECOLOGICAL ENGINEERING,PW,3400,14
ENERGY CONVERSION AND MANAGEMENT: X,OA,3100,15
ENERGY CONVERSION AND MANAGEMENT,PW,3100,15
"EUROPEAN JOURNAL OF OBSTETRICS, GYNECOLOGY, AND REPRODUCTIVE BIOLOGY: X",OA,2500,16
"EUROPEAN JOURNAL OF OBSTETRICS, GYNECOLOGY, AND REPRODUCTIVE BIOLOGY",PW,2500,16
EXPERT SYSTEMS WITH APPLICATIONS: X,OA,2200,17
EXPERT SYSTEMS WITH APPLICATIONS,PW,2640,17
FOOD CHEMISTRY: X,OA,2800,18
FOOD CHEMISTRY,PW,2800,18
GENE: X,OA,3400,19
GENE,PW,3400,19
INTERNATIONAL JOURNAL OF PHARMACEUTICS: X,OA,3700,20
INTERNATIONAL JOURNAL OF PHARMACEUTICS,PW,3700,20
JOURNAL OF ASIAN EARTH SCIENCES: X,OA,2600,21
JOURNAL OF ASIAN EARTH SCIENCES,PW,2600,21
JOURNAL OF BIOMEDICAL INFORMATICS: X,OA,2350,22
JOURNAL OF BIOMEDICAL INFORMATICS,PW,2800,22
JOURNAL OF BIOTECHNOLOGY: X,OA,2820,23
JOURNAL OF BIOTECHNOLOGY,PW,3200,23
JOURNAL OF COMPUTATIONAL PHYSICS: X,OA,2800,24
JOURNAL OF COMPUTATIONAL PHYSICS,PW,2800,24
JOURNAL OF DENTISTRY: X,OA,3000,25
JOURNAL OF DENTISTRY,PW,3000,25
JOURNAL OF HYDROLOGY X,OA,3200,26
JOURNAL OF HYDROLOGY,PW,3200,26
JOURNAL OF NON-CRYSTALLINE SOLIDS: X,OA,2200,27
JOURNAL OF NON-CRYSTALLINE SOLIDS,PW,2200,27
JOURNAL OF STRUCTURAL BIOLOGY: X,OA,2750,28
JOURNAL OF STRUCTURAL BIOLOGY,PW,3310,28
MATERIALS LETTERS: X,OA,2000,29
MATERIALS LETTERS,PW,3100,29
MICRO AND NANO ENGINEERING,OA,2020,30
MICROELECTRONIC ENGINEERING,PW,2200,30
NUTRITION: X,OA,2050,31
NUTRITION,PW,2850,31
OPTICAL MATERIALS: X,OA,1500,32
OPTICAL MATERIALS,PW,2200,32
RESEARCH POLICY: X,OA,2400,33
RESEARCH POLICY,PW,2760,33
RESPIRATORY MEDICINE: X,OA,3500,34
RESPIRATORY MEDICINE,PW,3500,34
SLEEP MEDICINE: X,OA,3360,35
SLEEP MEDICINE,PW,3900,35
TOXICON: X,OA,3300,36
TOXICON,PW,3300,36
VACCINE: X,OA,2450,37
VACCINE,PW,2950,37
VETERINARY PARASITOLOGY: X,OA,3200,38
VETERINARY PARASITOLOGY,PW,3000,38
WATER RESEARCH X,OA,3750,39
WATER RESEARCH,PW,3750,39
WORLD NEUROSURGERY: X,OA,2600,40
WORLD NEUROSURGERY,PW,2240,40
"RESOURCES, CONSERVATION, & RECYCLING: X",OA,3500,41
"RESOURCES, CONSERVATION, & RECYCLING",PW,3500,41
