"Journal","Articles (n)","Open Access Mirror","Articles (n)"
"Analytica Chimica Acta","1217","Analytica Chimica Acta: X","19"
"Atherosclerosis","443","Atherosclerosis: X","6"
"Atmospheric Environment","972","Atmospheric Environment: X","67"
"Biochimie","877","Biochimie Open","51"
"Biosensors and Bioelectronics","1166","Biosensors and Bioelectronics: X","9"
"Chaos, Solitons and Fractals","631","Chaos, Solitons and Fractals: X","15"
"Chemical Engineering Science","1069","Chemical Engineering Science: X","44"
"Chemical Physics Letters","1052","Chemical Physics Letters: X","23"
"Contraception","228","Contraception: X","21"
"Cytokine","477","Cytokine: X","8"
"Ecological Engineering","402","Ecological Engineering: X","13"
"Energy Conversion and Management","1623","Energy Conversion and Management: X","18"
"Expert Systems With Applications","1105","Expert Systems With Applications: X","10"
"Food Chemistry","3096","Food Chemistry: X","44"
"Gene","1077","Gene: X","21"
"International Journal of Pharmaceutics","1191","International Journal of Pharmaceutics: X","38"
"Journal of Asian Earth Sciences","595","Journal of Asian Earth Sciences: X","10"
"Journal of Biomedical Informatics","231","Journal of Biomedical Informatics: X","15"
"Journal of Biotechnology","304","Journal of Biotechnology: X","10"
"Journal of Computational Physics","946","Journal of Computational Physics: X","35"
"Journal of Dentistry","203","Journal of Dentistry: X","5"
"Journal of Hydrology","1466","Journal of Hydrology X","37"
"Journal of Non-Crystalline Solids","700","Journal of Non-Crystalline Solids: X","35"
"Journal of Structural Biology","182","Journal of Structural Biology: X","17"
"Materials Letters","1539","Materials Letters: X","30"
"Microelectronic Engineering","520","Micro and Nano Engineering","43"
"Nutrition","444","Nutrition: X","2"
"Optical Materials","964","Optical Materials: X","34"
"Research Policy","10","Research Policy: X","2"
"Respiratory Medicine","280","Respiratory Medicine: X","15"
"Sleep Medicine","19","Sleep Medicine: X","9"
"Toxicon","248","Toxicon: X","27"
"Vaccine","1432","Vaccine: X","42"
"Veterinary Parasitology","174","Veterinary Parasitology: X","21"
"Water Research","2236","Water Research X","30"
"World Neurosurgery","3168","World Neurosurgery: X","46"
"Total: ","32287","Total:","872"
