"JrnlType","FirstLastRegion","N","Pcnt","cumPcnt"
"OA","Europe & Central Asia+Europe & Central Asia",230,34.7432024169184,34.7432024169184
"OA","North America+North America",133,20.0906344410876,54.833836858006
"OA","East Asia & Pacific+East Asia & Pacific",79,11.9335347432024,66.7673716012085
"OA","Europe & Central Asia+North America",43,6.49546827794562,73.2628398791541
"OA","East Asia & Pacific+Europe & Central Asia",26,3.92749244712991,77.190332326284
"OA","East Asia & Pacific+North America",25,3.77643504531722,80.9667673716012
"OA","Latin America & Caribbean+Latin America & Caribbean",22,3.32326283987915,84.2900302114804
"OA","South Asia+South Asia",16,2.41691842900302,86.7069486404834
"OA","Latin America & Caribbean+North America",13,1.96374622356495,88.6706948640483
"OA","Sub-Saharan Africa+North America",9,1.3595166163142,90.0302114803625
"OA","South Asia+Europe & Central Asia",8,1.20845921450151,91.238670694864
"OA","Latin America & Caribbean+Europe & Central Asia",7,1.05740181268882,92.2960725075529
"OA","North America+Europe & Central Asia",7,1.05740181268882,93.3534743202417
"OA","Middle East & North Africa+Middle East & North Africa",6,0.906344410876133,94.2598187311178
"OA","Europe & Central Asia+East Asia & Pacific",5,0.755287009063444,95.0151057401813
"OA","Middle East & North Africa+Europe & Central Asia",4,0.604229607250755,95.619335347432
"OA","South Asia+East Asia & Pacific",4,0.604229607250755,96.2235649546828
"OA","South Asia+North America",4,0.604229607250755,96.8277945619335
"OA","Sub-Saharan Africa+Sub-Saharan Africa",4,0.604229607250755,97.4320241691843
"OA","Europe & Central Asia+Latin America & Caribbean",3,0.453172205438067,97.8851963746224
"OA","Europe & Central Asia+Middle East & North Africa",3,0.453172205438067,98.3383685800604
"OA","Europe & Central Asia+Sub-Saharan Africa",2,0.302114803625378,98.6404833836858
"OA","Middle East & North Africa+North America",2,0.302114803625378,98.9425981873112
"OA","Sub-Saharan Africa+Europe & Central Asia",2,0.302114803625378,99.2447129909365
"OA","East Asia & Pacific+Middle East & North Africa",1,0.151057401812689,99.3957703927492
"OA","East Asia & Pacific+South Asia",1,0.151057401812689,99.5468277945619
"OA","Europe & Central Asia+South Asia",1,0.151057401812689,99.6978851963746
"OA","Latin America & Caribbean+East Asia & Pacific",1,0.151057401812689,99.8489425981873
"OA","North America+East Asia & Pacific",1,0.151057401812689,100
"PW","East Asia & Pacific+East Asia & Pacific",8941,35.9364951768489,35.9364951768489
"PW","Europe & Central Asia+Europe & Central Asia",4787,19.2403536977492,55.1768488745981
"PW","North America+North America",2647,10.6390675241158,65.8159163987138
"PW","East Asia & Pacific+North America",1589,6.38665594855305,72.2025723472669
"PW","East Asia & Pacific+Europe & Central Asia",970,3.89871382636656,76.1012861736334
"PW","Latin America & Caribbean+Latin America & Caribbean",866,3.48070739549839,79.5819935691318
"PW","Europe & Central Asia+North America",765,3.07475884244373,82.6567524115756
"PW","Middle East & North Africa+Middle East & North Africa",744,2.9903536977492,85.6471061093248
"PW","South Asia+South Asia",743,2.98633440514469,88.6334405144695
"PW","Latin America & Caribbean+Europe & Central Asia",329,1.32234726688103,89.9557877813505
"PW","Latin America & Caribbean+North America",252,1.01286173633441,90.9686495176849
"PW","Middle East & North Africa+Europe & Central Asia",203,0.815916398713826,91.7845659163987
"PW","North America+East Asia & Pacific",198,0.795819935691318,92.58038585209
"PW","Europe & Central Asia+East Asia & Pacific",174,0.69935691318328,93.2797427652733
"PW","Europe & Central Asia+Middle East & North Africa",150,0.602893890675241,93.8826366559486
"PW","East Asia & Pacific+Middle East & North Africa",140,0.562700964630225,94.4453376205788
"PW","Middle East & North Africa+North America",140,0.562700964630225,95.008038585209
"PW","North America+Europe & Central Asia",140,0.562700964630225,95.5707395498392
"PW","South Asia+North America",121,0.486334405144695,96.0570739549839
"PW","East Asia & Pacific+South Asia",112,0.45016077170418,96.5072347266881
"PW","South Asia+Europe & Central Asia",87,0.34967845659164,96.8569131832797
"PW","South Asia+East Asia & Pacific",81,0.32556270096463,97.1824758842444
"PW","Sub-Saharan Africa+Sub-Saharan Africa",80,0.321543408360129,97.5040192926045
"PW","Sub-Saharan Africa+North America",64,0.257234726688103,97.7612540192926
"PW","East Asia & Pacific+Sub-Saharan Africa",63,0.253215434083601,98.0144694533762
"PW","North America+Middle East & North Africa",63,0.253215434083601,98.2676848874598
"PW","Europe & Central Asia+South Asia",56,0.22508038585209,98.4927652733119
"PW","Middle East & North Africa+East Asia & Pacific",51,0.204983922829582,98.6977491961415
"PW","South Asia+Middle East & North Africa",49,0.196945337620579,98.8946945337621
"PW","Sub-Saharan Africa+Europe & Central Asia",48,0.192926045016077,99.0876205787781
"PW","Europe & Central Asia+Sub-Saharan Africa",47,0.188906752411576,99.2765273311897
"PW","Europe & Central Asia+Latin America & Caribbean",28,0.112540192926045,99.3890675241158
"PW","Latin America & Caribbean+East Asia & Pacific",28,0.112540192926045,99.5016077170418
"PW","East Asia & Pacific+Latin America & Caribbean",20,0.0803858520900322,99.5819935691318
"PW","North America+Latin America & Caribbean",12,0.0482315112540193,99.6302250803859
"PW","Middle East & North Africa+Sub-Saharan Africa",11,0.0442122186495177,99.6744372990354
"PW","South Asia+Sub-Saharan Africa",11,0.0442122186495177,99.7186495176849
"PW","Latin America & Caribbean+Middle East & North Africa",10,0.0401929260450161,99.7588424437299
"PW","Latin America & Caribbean+Sub-Saharan Africa",9,0.0361736334405145,99.7950160771704
"PW","North America+South Asia",9,0.0361736334405145,99.8311897106109
"PW","Latin America & Caribbean+South Asia",8,0.0321543408360129,99.8633440514469
"PW","Sub-Saharan Africa+East Asia & Pacific",7,0.0281350482315113,99.8914790996785
"PW","Middle East & North Africa+Latin America & Caribbean",6,0.0241157556270096,99.9155948553055
"PW","North America+Sub-Saharan Africa",6,0.0241157556270096,99.9397106109325
"PW","Middle East & North Africa+South Asia",5,0.020096463022508,99.959807073955
"PW","Sub-Saharan Africa+South Asia",4,0.0160771704180064,99.975884244373
"PW","South Asia+Latin America & Caribbean",3,0.0120578778135048,99.9879421221865
"PW","Sub-Saharan Africa+Middle East & North Africa",3,0.0120578778135048,100
